wavelength,RSR_Rrs_400,RSR_Rrs_412.5,RSR_Rrs_442.5,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_665,RSR_Rrs_673.75,RSR_Rrs_681.25,RSR_Rrs_708.75,RSR_Rrs_753.75,RSR_Rrs_761.25,RSR_Rrs_764.375,RSR_Rrs_767.5,RSR_Rrs_778.75,RSR_Rrs_865,RSR_Rrs_885,RSR_Rrs_900,RSR_Rrs_940,RSR_Rrs_1020
712,,,,,,,,,,,0.999052,,,,,,,,,,
713,,,,,,,,,,,0.932059,,,,,,,,,,
714,,,,,,,,,,,0.487186,,,,,,,,,,
715,,,,,,,,,,,0.0604405,,,,,,,,,,
716,,,,,,,,,,,0.0014873,,,,,,,,,,
717,,,,,,,,,,,0.000008883,,,,,,,,,,
718,,,,,,,,,,,0.000000014,,,,,,,,,,
719,,,,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,,,,
721,,,,,,,,,,,,,,,,,,,,,
722,,,,,,,,,,,,,,,,,,,,,
723,,,,,,,,,,,,,,,,,,,,,
724,,,,,,,,,,,,,,,,,,,,,
725,,,,,,,,,,,,,,,,,,,,,
726,,,,,,,,,,,,,,,,,,,,,
727,,,,,,,,,,,,,,,,,,,,,
728,,,,,,,,,,,,,,,,,,,,,
729,,,,,,,,,,,,,,,,,,,,,
730,,,,,,,,,,,,,,,,,,,,,
731,,,,,,,,,,,,,,,,,,,,,
732,,,,,,,,,,,,,,,,,,,,,
733,,,,,,,,,,,,,,,,,,,,,
734,,,,,,,,,,,,,,,,,,,,,
735,,,,,,,,,,,,,,,,,,,,,
736,,,,,,,,,,,,,,,,,,,,,
737,,,,,,,,,,,,,,,,,,,,,
738,,,,,,,,,,,,,,,,,,,,,
739,,,,,,,,,,,,,,,,,,,,,
740,,,,,,,,,,,,,,,,,,,,,
741,,,,,,,,,,,,,,,,,,,,,
742,,,,,,,,,,,,,,,,,,,,,
743,,,,,,,,,,,,,,,,,,,,,
744,,,,,,,,,,,,,,,,,,,,,
745,,,,,,,,,,,,,,,,,,,,,
746,,,,,,,,,,,,0.000000002,,,,,,,,,
747,,,,,,,,,,,,0.000001817,,,,,,,,,
748,,,,,,,,,,,,0.00044119,,,,,,,,,
749,,,,,,,,,,,,0.026964,,,,,,,,,
750,,,,,,,,,,,,0.335481,,,,,,,,,
751,,,,,,,,,,,,0.870634,,,,,,,,,
752,,,,,,,,,,,,0.993823,,,,,,,,,
753,,,,,,,,,,,,0.996347,,,,,,,,,
754,,,,,,,,,,,,0.995161,,,,,,,,,
755,,,,,,,,,,,,0.995335,,,,,,,,,
756,,,,,,,,,,,,0.994296,0.000000002,,,,,,,,
757,,,,,,,,,,,,0.888653,0.000001509,,,,,,,,
758,,,,,,,,,,,,0.367825,0.000391894,,,,,,,,
759,,,,,,,,,,,,0.0325026,0.0253394,0.000000051,,,,,,,
760,,,,,,,,,,,,0.000581642,0.335219,0.000025172,,,,,,,
761,,,,,,,,,,,,0.000002538,0.912747,0.00341003,,,,,,,
762,,,,,,,,,,,,0.000000003,0.947615,0.104162,,,,,,,
763,,,,,,,,,,,,,0.408188,0.616724,0.000000283,,,,,,
764,,,,,,,,,,,,,0.0376824,0.965201,0.000101249,,,,,,
765,,,,,,,,,,,,,0.000697656,0.993217,0.00967829,,,,,,
766,,,,,,,,,,,,,0.000003134,0.818605,0.198208,,,,,,
767,,,,,,,,,,,,,0.000000004,0.250706,0.797488,,,,,,
768,,,,,,,,,,,,,,0.0153276,0.991878,0.000000255,,,,,
769,,,,,,,,,,,,,,0.000194838,0.580165,0.000089582,,,,,
770,,,,,,,,,,,,,,0.00000064,0.0817683,0.00884274,,,,,
771,,,,,,,,,,,,,,,0.0022728,0.182132,,,,,
772,,,,,,,,,,,,,,,0.000014589,0.743694,,,,,
773,,,,,,,,,,,,,,,0.000000026,0.978179,,,,,
774,,,,,,,,,,,,,,,,0.993443,,,,,
775,,,,,,,,,,,,,,,,0.996151,,,,,
776,,,,,,,,,,,,,,,,0.998201,,,,,
777,,,,,,,,,,,,,,,,0.997133,,,,,
778,,,,,,,,,,,,,,,,0.99443,,,,,
779,,,,,,,,,,,,,,,,0.993622,,,,,
780,,,,,,,,,,,,,,,,0.996195,,,,,
781,,,,,,,,,,,,,,,,0.997594,,,,,
782,,,,,,,,,,,,,,,,0.995499,,,,,
783,,,,,,,,,,,,,,,,0.991867,,,,,
784,,,,,,,,,,,,,,,,0.990373,,,,,
785,,,,,,,,,,,,,,,,0.983695,,,,,
786,,,,,,,,,,,,,,,,0.816347,,,,,
787,,,,,,,,,,,,,,,,0.259019,,,,,
788,,,,,,,,,,,,,,,,0.0165558,,,,,
789,,,,,,,,,,,,,,,,0.000223952,,,,,
790,,,,,,,,,,,,,,,,0.000000766,,,,,
791,,,,,,,,,,,,,,,,,,,,,
792,,,,,,,,,,,,,,,,,,,,,
793,,,,,,,,,,,,,,,,,,,,,
794,,,,,,,,,,,,,,,,,,,,,
795,,,,,,,,,,,,,,,,,,,,,
796,,,,,,,,,,,,,,,,,,,,,
797,,,,,,,,,,,,,,,,,,,,,
798,,,,,,,,,,,,,,,,,,,,,
799,,,,,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,,,,
801,,,,,,,,,,,,,,,,,,,,,
802,,,,,,,,,,,,,,,,,,,,,
803,,,,,,,,,,,,,,,,,,,,,
804,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,,,,,
807,,,,,,,,,,,,,,,,,,,,,
808,,,,,,,,,,,,,,,,,,,,,
809,,,,,,,,,,,,,,,,,,,,,
810,,,,,,,,,,,,,,,,,,,,,
811,,,,,,,,,,,,,,,,,,,,,
812,,,,,,,,,,,,,,,,,,,,,
813,,,,,,,,,,,,,,,,,,,,,
814,,,,,,,,,,,,,,,,,,,,,
815,,,,,,,,,,,,,,,,,,,,,
816,,,,,,,,,,,,,,,,,,,,,
817,,,,,,,,,,,,,,,,,,,,,
