wavelength,RSR_Rrs_380,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_555,RSR_Rrs_620,RSR_Rrs_660,RSR_Rrs_680,RSR_Rrs_709,RSR_Rrs_745,RSR_Rrs_865
828,,,,,,,,,,,,
829,,,,,,,,,,,,
830,,,,,,,,,,,,
831,,,,,,,,,,,,
832,,,,,,,,,,,,0.000089
833,,,,,,,,,,,,0.000168332
834,,,,,,,,,,,,0.000220035
835,,,,,,,,,,,,0.00026529
836,,,,,,,,,,,,0.000284042
837,,,,,,,,,,,,0.000230032
838,,,,,,,,,,,,0.000178022
839,,,,,,,,,,,,0.000110014
840,,,,,,,,,,,,0.000009
841,,,,,,,,,,,,0.001300177
842,,,,,,,,,,,,0.005590957
843,,,,,,,,,,,,0.025314033
844,,,,,,,,,,,,0.088293389
845,,,,,,,,,,,,0.323120414
846,,,,,,,,,,,,0.626117572
847,,,,,,,,,,,,0.86209997
848,,,,,,,,,,,,0.893875411
849,,,,,,,,,,,,0.935801173
850,,,,,,,,,,,,0.963964433
851,,,,,,,,,,,,0.964654536
852,,,,,,,,,,,,0.935489766
853,,,,,,,,,,,,0.923558379
854,,,,,,,,,,,,0.936260282
855,,,,,,,,,,,,0.965265788
856,,,,,,,,,,,,0.989568869
857,,,,,,,,,,,,1
858,,,,,,,,,,,,0.999499905
859,,,,,,,,,,,,0.989438161
860,,,,,,,,,,,,0.986717802
861,,,,,,,,,,,,0.987327973
862,,,,,,,,,,,,0.991628679
863,,,,,,,,,,,,0.986857782
864,,,,,,,,,,,,0.972085569
865,,,,,,,,,,,,0.951232285
866,,,,,,,,,,,,0.931839259
867,,,,,,,,,,,,0.918697466
868,,,,,,,,,,,,0.91482699
869,,,,,,,,,,,,0.913286799
870,,,,,,,,,,,,0.901054847
871,,,,,,,,,,,,0.876200683
872,,,,,,,,,,,,0.838644976
873,,,,,,,,,,,,0.785112835
874,,,,,,,,,,,,0.744721375
875,,,,,,,,,,,,0.723908356
876,,,,,,,,,,,,0.722918316
877,,,,,,,,,,,,0.741231127
